Date,Open,High,Low,Close,Volume,Change %,SMA,close_diff,EMA12,EMA26,MACD,signal_line,MA15,MA30,MA45,TRIX,RSI,ATR,W%,ROC,SO %K,SO %D,ADX,VAR,CCI,upper_band,lower_band,VolatilityIndex,Daily_Return,Daily_Return1,Daily_Return2,Daily_Return3,label_1d,label_3d,label_7d,label_10d
2018-10-30,200.166672,203.333328,199.666672,200.166672,316386,0.10836459277365762,211.12999960000002,0.21667500000000928,206.11361316980185,215.9407260277994,-9.827112857997548,-9.755835047990203,208.29901253820273,218.4701536900535,226.7024444127888,-0.04486559983151641,16.00823990143803,4.879759499999998,-89.40463910308756,-12.091930330591964,16.457683862187682,13.43642321780416,67.23227721823838,147822.0520155806,-87.14901066907832,255.24367912200313,187.43409801133026,8.30119984197101,0.10836459277366695,-0.5547741805158858,-4.508227826099076,-5.988258167026019,2,0,0,0
2018-10-31,201.666672,205.166672,198.683334,200.083328,385113,-0.04163730113873054,209.90666585,-0.08334400000001096,205.18587698983234,214.7661039516661,-9.580226961833773,-9.720713430758916,207.27205197092738,217.28390687134038,225.54509152527623,-0.04438959337446276,17.319681976624636,4.997617357142856,-89.65694189125682,-10.895869371242007,16.06578408967044,15.541694531031633,64.01025607729491,147822.0520155806,-78.42693966834723,253.57935965786888,186.19952827546442,8.017382465666836,-0.04163730113872851,0.4098352367149343,-3.667149306699317,-6.262201540344833,2,2,0,0
2018-11-01,201.333328,206.666672,200.333328,205.083328,255468,2.498958833791498,208.95416569999998,5.0,205.17010022216581,214.04886128857973,-8.878761066413915,-9.552322957889917,206.99846147456145,216.49677275060876,224.65544963287292,-0.04227946079905579,27.3304264399586,4.991665357142856,-74.52071203852476,-8.499406542974192,39.576761035652844,24.033409662503658,59.68265168678311,147822.0520155806,-50.958010897384874,248.6422269443945,187.50443745560545,7.341344586528376,2.498958833791489,2.5673073653509473,0.40799412484699854,-3.5280283127376766,1,1,2,0
2018-11-02,206.666672,210.300003,205.333328,208.28334,300297,1.5603472165226506,208.14499969999997,3.200012000000015,205.64906018798646,213.62178563757385,-7.9727254495873865,-9.23640345622941,207.15907129024126,215.9668738634727,223.94361877926974,-0.03933044674924567,31.971804249949244,5.028570928571428,-60.599188924504475,-7.209676483803867,54.62384270742633,36.75546261091654,54.5228730342022,147822.0520155806,-9.40671668200497,244.41740814710175,188.77370098623152,6.369041082190344,1.5603472165226495,4.0549547628987925,2.68694107311596,-0.6360796621570167,1,1,1,0
2018-11-05,207.899994,207.899994,203.333328,203.983337,156255,-2.064496853180864,207.30833355,-4.300003000000004,205.39279508214238,212.90782647923504,-7.515031397092656,-8.892129044402061,206.7621045039611,215.19374245292607,223.07578044104062,-0.037797191305550426,31.584762941717557,5.145238571428572,-72.5624952749981,-7.581359286607538,34.404388427295274,42.86833072345814,49.78654942628015,147822.0520155806,-34.08952314551745,241.1733523918952,189.2577571414381,5.693956124582617,-2.064496853180866,1.949192388483268,1.3413911951182826,-1.7894367133765485,0,1,1,0
2018-11-06,204.883331,205.416672,201.71666,202.399994,147927,-0.7762119314677185,206.4791664,-1.5833430000000135,204.93236414642817,212.1294685178102,-7.197104371382039,-8.553124109798057,206.21684069096597,214.36833932693085,222.17683320447364,-0.03668923765990895,31.68937267783197,5.009524714285716,-75.3758451595724,-7.572878935532896,28.738460461923818,39.255563865548474,47.916071515875224,147822.0520155806,-51.691882427900545,238.71664707619186,189.2655733238081,5.078527132900548,-0.7762119314677225,-1.3084115740505255,1.5724311095629673,-0.9057556915544712,0,0,1,0
2018-11-07,203.333328,207.333328,203.333328,206.53334,88980,2.0421670565859973,206.24749979999996,4.133346000000017,205.17866812390076,211.7149404794539,-6.5362723555531375,-8.149753758949075,206.25640310459522,213.86285549938694,221.4966813260183,-0.0343411573900553,44.43109991369246,5.022620000000002,-53.60499922366751,-2.194158744898909,59.97975561940836,41.040868169542485,45.360817662870424,147822.0520155806,-14.494931066524485,235.5650773886016,190.14381027806502,4.9576849261383,2.0421670565859884,-0.8402016215027086,3.292494673055691,1.8241637291481088,1,0,1,1
2018-11-09,206.666672,209.149994,205.366669,208.566666,157005,0.9845025505325067,206.02666625,2.033325999999988,205.69989856637756,211.48173496245732,-5.781836396079768,-7.676170286375214,206.54518596652082,213.5211658542652,220.9345067466262,-0.031574877055057016,44.719013743902714,5.002381357142858,-44.04390308173424,-2.0737166870476855,78.11818065685215,55.612132246061435,41.98598886464458,147822.0520155806,16.474551573883826,232.24459418007805,191.40984915325524,4.735230982264291,0.9845025505325136,2.2469134329339813,4.196499804922566,3.61844452700357,1,1,1,1
2018-11-12,210.0,210.0,205.566666,206.050003,155079,-1.2066467994458874,205.82833325000001,-2.516662999999994,205.75376078693483,211.07938444671976,-5.325623659784924,-7.206060961057156,206.48328809570572,213.03915534753844,220.28735440981637,-0.029760524699190733,45.20549299613213,4.977382000000001,-55.8777442364956,-1.8887358475931932,68.82640053263579,68.97477893629876,38.062134732039645,147822.0520155806,12.473856426138003,228.90558090892625,192.67219615774036,4.64145841198545,-1.2066467994458876,1.803364183894201,2.982095039922571,3.4041519529034363,0,1,1,1
2018-11-13,205.666672,207.699997,205.350006,206.933334,117951,0.42869739730118095,205.59666665,0.8833309999999983,205.93523358894487,210.7722695988146,-4.837036009869735,-6.732255970819672,206.5395438337425,212.64523138963276,219.7067448267809,-0.027790168939529118,44.30795181980403,4.696429571428573,-51.724149281161296,-2.190010405514447,75.30560213054314,74.08339444001035,35.12656028846449,147822.0520155806,9.13079682039597,226.15681240950346,193.72429819049654,4.45172209877834,0.42869739730117756,0.19367042628565073,0.9020752774208968,3.492541687810081,2,2,1,1
